peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material,r_cm
34781.094,7282.7515,3182308400000.0,0.0769012816880281,53038470.0,-1.6155316,11.585942,82438.35,6364618000000.0,317392320.0,57718,0.6413111111111112,1.0772802,-5.764579146775479e-07,9.5469255e+16,27905.81882384951,16004.81702923662,37.49999999999999,8.89279,0.29940337,paper,15
27926.934,4570.753,1253507000000.0,0.1174686244770746,20891750.0,2.0735092,8.391486,36574.195,2507012000000.0,285918140.0,57790,0.6421111111111111,1.0755136,-4.226584133657645e-07,3.7605145e+16,31586.287288200852,14339.507096809804,37.49999999999999,8.841254,0.6772577,paper,30
34937.086,6170.602,2284579700000.0,0.151269187819797,38076196.0,-1.5534499,13.385244,66387.8,4569152000000.0,298976900.0,57683,0.6409222222222222,0.9277274,-1.1518633941656817e-06,6.8537155e+16,27796.954606826053,16135.99177574126,37.49999999999999,8.88261,0.38638562,paper,45
34560.285,5752.27,1985316700000.0,0.1289854830913848,33088548.0,-0.8934191,12.865858,59205.973,3970622800000.0,295027840.0,57678,0.6408666666666667,1.085627,-4.650518752567426e-07,5.9559175e+16,28424.259936846036,15799.42739285304,37.49999999999999,8.920269,0.6251529,paper,60
26539.086,4243.812,1080596370000.0,0.1244687411456857,18009930.0,1.502838,2.16319,34829.266,2161190900000.0,289480640.0,58040,0.6448888888888888,1.0639769,-4.589376941891497e-07,3.2417842e+16,30157.428802786453,15759.713077600542,37.49999999999999,8.677788,0.21932869,paper,75
27900.934,4368.7417,1145154200000.0,0.0890681511358522,19085896.0,1.3539064,5.8208017,32885.5,2290307600000.0,281751200.0,58112,0.6456888888888889,0.9455439,-9.136152272408072e-07,3.4354597e+16,31365.027539544448,14719.50504408118,37.49999999999999,8.575816,0.4951933,paper,90
27901.59,4334.274,1127155900000.0,0.1033017216953615,18785930.0,1.1490632,4.643815,32641.814,2254311500000.0,284257440.0,59477,0.6608555555555555,1.0081667,6.712359437211376e-07,3.3814666e+16,32044.378398701403,14578.512243347974,37.49999999999999,8.628574,0.46954787,paper,105
29211.041,4467.384,1197451000000.0,0.1034683911398523,19957510.0,0.9912215,6.5690327,32877.8,2394902000000.0,285142820.0,58264,0.6473777777777778,1.0192844,7.921673462700432e-08,3.5923523e+16,31112.806678397046,14763.125734406827,37.49999999999999,8.517383,0.5601857,paper,120
25015.402,5319.109,1697575100000.0,0.0831180519675327,28292872.0,1.1705962,1.5511694,43120.684,3395147000000.0,363557630.0,59999,0.6666555555555556,1.0630056,-3.116509899617738e-07,5.0927154e+16,29387.769557910386,15568.110347816371,37.49999999999999,8.568106,0.25691092,paper,135
24320.48,6319.517,2396177800000.0,0.0562509375156252,39936250.0,1.393339,1.0817027,56357.03,4792352500000.0,442626460.0,59999,0.6666555555555556,1.0329524,-3.205389571972644e-07,7.1885233e+16,24271.943618147852,17280.126994168208,37.49999999999999,8.578146,0.05649716,paper,150
