distance_cm,snr,confidence,kurtosis,skewness,rms,zero_crossing_rate,peak_to_peak,pulse_width_us,rise_time_us,fall_time_us,echo_area,crest_factor,spectral_centroid,spectral_crest,psd_energy,spectral_entropy,dominant_freq_hz,target_strength_dB,echo_noise_ratio,label,target_distance_cm
20.2,12.3,1.0,-0.703,0.6424,5306.61,0.2353,8291.68,188.87,55.55,99.99,84373.8,1.815,5234.4,8.491,367439840.0,0.7561,1054.8,21.8,12.3,wall,20
20.2,11.74,1.0,-0.7138,0.6715,5111.93,0.2353,7714.53,188.87,44.44,99.99,81876.3,1.798,5178.4,8.58,337855072.0,0.7541,1054.8,21.39,11.74,wall,20
20.2,11.56,1.0,-0.7343,0.6562,5067.35,0.1176,7655.02,188.87,44.44,99.99,81281.1,1.789,5092.9,8.519,330250112.0,0.7517,1054.8,21.26,11.56,wall,20
20.2,12.14,1.0,-0.7142,0.6538,5264.96,0.2353,8042.97,188.87,44.44,99.99,83960.5,1.81,5237.8,8.374,359779328.0,0.7566,1054.8,21.68,12.14,wall,20
20.2,11.81,1.0,-0.6889,0.6805,5157.46,0.2353,7764.88,188.87,44.44,99.99,82668.4,1.799,5159.5,8.549,344511872.0,0.7531,1054.8,21.45,11.81,wall,20
20.2,11.46,1.0,-0.6582,0.6692,4910.67,0.2222,7825.16,199.98,55.55,99.99,82178.1,1.837,5103.9,8.576,326413440.0,0.7512,1406.4,21.19,11.46,wall,20
20.2,11.92,1.0,-0.6999,0.6738,5194.88,0.2353,7915.1,188.87,44.44,99.99,83028.2,1.807,5229.7,8.407,349577664.0,0.7561,1054.8,21.52,11.92,wall,20
20.2,11.45,1.0,-0.6699,0.7001,5068.07,0.1176,7494.4,188.87,55.55,99.99,81668.8,1.782,5107.7,8.677,331595936.0,0.7507,1054.8,21.18,11.45,wall,20
20.2,11.06,1.0,-0.6561,0.679,4815.94,0.1111,7504.46,199.98,66.66,99.99,81066.9,1.813,5008.2,8.757,313160576.0,0.7473,1406.4,20.88,11.06,wall,20
20.2,11.57,1.0,-0.6962,0.6946,5099.78,0.1176,7601.93,188.87,55.55,99.99,81768.8,1.791,5197.0,8.513,336472608.0,0.7546,1406.4,21.27,11.57,wall,20
20.2,11.13,1.0,-0.608,0.6946,4885.33,0.2222,7593.26,199.98,66.66,99.99,82204.7,1.799,5074.6,8.815,324458784.0,0.7492,1054.8,20.93,11.13,wall,20
20.2,10.83,1.0,-0.6179,0.7084,4765.75,0.1111,7256.52,199.98,66.66,99.99,80574.5,1.795,5052.7,8.848,306485376.0,0.7482,1406.4,20.69,10.83,wall,20
20.2,11.2,1.0,-0.6822,0.7105,5000.33,0.1176,7296.05,188.87,55.55,99.99,80537.5,1.769,5165.4,8.637,322442112.0,0.753,1054.8,20.98,11.2,wall,20
20.2,11.01,1.0,-0.5966,0.7335,4803.35,0.2222,7374.75,199.98,66.66,99.99,80783.5,1.81,5204.4,8.689,312645792.0,0.7536,1054.8,20.83,11.01,wall,20
20.2,10.74,1.0,-0.5943,0.7431,4727.6,0.1111,7098.96,199.98,66.66,99.99,79902.2,1.795,5144.5,8.794,301637504.0,0.7509,1406.4,20.62,10.74,wall,20
20.2,11.46,1.0,-0.6292,0.6916,4971.92,0.2222,7784.18,199.98,66.66,99.99,83522.8,1.822,5102.7,8.734,335960352.0,0.7502,1406.4,21.18,11.46,wall,20
20.3,11.25,1.0,-0.5526,0.7239,4837.27,0.2105,7590.4,211.09,66.66,111.1,85312.5,1.841,4955.6,9.076,333647456.0,0.7438,1054.8,21.03,11.25,wall,20
20.3,10.9,1.0,-0.5906,0.7187,4834.25,0.1111,7228.88,199.98,66.66,99.99,82132.3,1.784,4941.9,9.091,316189888.0,0.743,1054.8,20.75,10.9,wall,20
20.3,11.71,1.0,-0.6496,0.7017,5246.77,0.2353,7567.94,188.87,55.55,99.99,84487.2,1.768,5162.0,8.794,359091008.0,0.7516,1054.8,21.37,11.71,wall,20
20.3,11.11,1.0,-0.6228,0.6964,4921.12,0.2222,7350.23,199.98,66.66,99.99,83570.5,1.789,5015.9,9.001,327929952.0,0.7459,1054.8,20.92,11.11,wall,20
20.3,11.21,1.0,-0.6609,0.6513,4941.79,0.2222,7548.44,199.98,55.55,99.99,83774.4,1.798,4879.6,8.963,330040032.0,0.7422,1054.8,20.99,11.21,wall,20
20.2,11.51,1.0,-0.6711,0.6899,5104.07,0.2353,7527.8,188.87,44.44,99.99,82357.7,1.787,5047.5,8.799,336197824.0,0.7478,1054.8,21.22,11.51,wall,20
20.2,11.03,1.0,-0.6447,0.6967,4824.41,0.2222,7273.5,199.98,55.55,99.99,81618.8,1.813,5042.6,8.845,313074304.0,0.748,1406.4,20.85,11.03,wall,20
20.2,11.24,1.0,-0.6706,0.6712,4889.01,0.2222,7581.95,199.98,55.55,99.99,82215.1,1.822,5000.1,8.732,322686784.0,0.7472,1406.4,21.01,11.24,wall,20
20.2,11.96,1.0,-0.7007,0.6596,5283.58,0.2353,7919.92,188.87,44.44,99.99,84724.3,1.795,5182.3,8.627,363097440.0,0.7531,1054.8,21.56,11.96,wall,20
20.2,11.51,1.0,-0.6811,0.6494,5002.42,0.2222,7902.14,199.98,55.55,99.99,83891.8,1.824,5180.3,8.619,340164448.0,0.7537,1054.8,21.22,11.51,wall,20
20.2,11.63,1.0,-0.739,0.6471,5165.18,0.2353,7766.9,188.87,44.44,99.99,82951.4,1.784,5114.0,8.554,344904384.0,0.752,1054.8,21.31,11.63,wall,20
