peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material,r_cm
34517.324,6020.382,2174700100000.0,0.0625510425173753,36198756.0,-1.1284455,14.701534,95706.414,4346616200000.0,295942620.0,26525,0.2947222222222222,0.25125852,-5.669219145339488e-06,6.515747e+16,23952.32258019465,17592.031805120005,37.49999999999999,9.361252,0.34242362,cardboard,15
34648.043,6390.6714,2450440800000.0,0.1440690678177969,40840668.0,-1.3462796,12.939224,70887.695,4900881700000.0,306192860.0,57682,0.6409111111111111,1.0916909,-5.94870591929967e-07,7.351319e+16,28108.869401115375,15963.976693506913,37.49999999999999,8.940184,0.40704286,cardboard,30
29461.043,4810.101,1388224200000.0,0.1630027167119452,23137058.0,1.7838919,7.744589,36563.566,2776447800000.0,300082300.0,57861,0.6429,1.0404329,-3.196934624098152e-07,4.164671e+16,31741.37220198277,14202.188249858676,37.49999999999999,8.723921,0.82865363,cardboard,45
34480.008,5300.16,1685501900000.0,0.1532025533758896,28091654.0,-0.18844672,11.717344,53813.96,3371001200000.0,300032900.0,57932,0.6436888888888889,0.9233431,-5.0876205631517e-08,5.056497e+16,28754.651695281416,16055.795119042448,37.49999999999999,9.003893,0.76938236,cardboard,60
34757.29,5207.035,1626792800000.0,0.1401856697611626,27113064.0,-0.28467214,11.899795,51096.715,3253576700000.0,294719940.0,58012,0.6445777777777778,0.96062607,2.379790403670952e-07,4.8803516e+16,29645.912767970236,15629.343262990034,37.49999999999999,8.913572,0.7308964,cardboard,75
34562.26,5062.14,1537515700000.0,0.1221020350339172,25625220.0,-0.086107,11.253496,47989.85,3075028500000.0,293585730.0,58091,0.6454555555555556,1.0852104,-1.4360286279209176e-06,4.612539e+16,30354.70736714444,15262.469842215578,37.49999999999999,8.932213,0.8175577,cardboard,90
34500.195,4994.002,1496403400000.0,0.0920682011366856,24940048.0,0.19963202,10.199393,45255.63,2992806300000.0,298281860.0,58170,0.6463333333333333,1.0684779,-5.30870946072213e-07,4.489207e+16,31615.67866121295,14491.19377422076,37.49999999999999,8.7996645,0.88939476,cardboard,105
34443.516,4874.242,1425494200000.0,0.091934865581093,23758236.0,0.45394877,9.461999,39724.04,2850988000000.0,297367260.0,59420,0.6602222222222223,1.0058887,1.9342448901663424e-07,4.276481e+16,32284.664438781783,13978.708604647603,37.49999999999999,8.802843,0.8403441,cardboard,120
34476.707,4944.641,1466968700000.0,0.0920515341922365,24449472.0,-0.037585232,10.356073,43486.99,2933937100000.0,297925500.0,59999,0.6666555555555556,1.0514787,-2.8459187751377097e-08,4.4009052e+16,31654.846838801757,14475.367955112462,37.49999999999999,8.785622,0.8521013,cardboard,135
29486.992,4436.1226,1180751000000.0,0.0788346472441207,19679150.0,0.78425354,6.0441484,33276.926,2361499000000.0,285934530.0,58405,0.6489444444444444,1.0622808,-5.995004878781809e-07,3.5422446e+16,31989.27832566844,14389.18246636514,37.49999999999999,8.658617,0.5327159,cardboard,150
