peak_amplitude,rms,total_energy,zcr,variance,skewness,kurtosis,envelope_peak,envelope_energy,envelope_area,fwhm_samples,fwhm_time,early_late_ratio,decay_slope,spectral_energy,spectral_centroid,spectral_bandwidth,dominant_frequency,spectral_entropy,high_low_ratio,material,r_cm
34677.83,8231.557,4065511600000.0,0.1272521208686811,67758504.0,-1.0748981,8.772343,81736.67,8131022000000.0,357824220.0,57741,0.6415666666666666,1.0816774,-1.740570325687034e-06,1.219653e+17,28759.939120670373,15436.029405871046,37.49999999999999,8.915506,0.48601893,wood,15
34631.832,7418.2837,3301856000000.0,0.148352472541209,55030892.0,-1.4154049,10.588227,78075.35,6603708000000.0,339109300.0,57692,0.6410222222222223,1.1088659,-1.1952341495912302e-06,9.905557e+16,28762.555742926183,15680.00255131365,37.49999999999999,9.051941,0.3810657,wood,30
34360.92,5058.083,1535052200000.0,0.150152502541709,25584164.0,1.2634451,10.76889,40732.734,3070101600000.0,295310980.0,59999,0.6666555555555556,1.05417,-2.916744696405276e-07,4.6051473e+16,32073.065324262076,13984.704253920514,37.49999999999999,8.911318,1.1154732,wood,45
34423.656,5030.377,1518281400000.0,0.148802480041334,25304688.0,0.5496351,10.556425,42599.01,3036563000000.0,296318720.0,57941,0.6437888888888889,1.0805894,-8.532373581921606e-07,4.5548437e+16,31766.596584126113,14509.746552194149,37.49999999999999,8.855689,0.98871464,wood,60
31294.996,4622.641,1282128600000.0,0.1145019083651394,21368810.0,1.3412749,8.430935,37431.676,2564257000000.0,286222000.0,58019,0.6446555555555555,1.0603312,6.56572605859779e-07,3.8463854e+16,31349.453903295067,14269.431070707436,37.49999999999999,8.655836,0.69733554,wood,75
27904.973,4397.9624,1160524300000.0,0.0925515425257087,19342056.0,1.3799708,5.6522894,32392.836,2321047000000.0,283026600.0,59998,0.6666444444444445,0.94060016,2.774506389783345e-07,3.481567e+16,31933.58400089874,14600.928471672412,37.49999999999999,8.584513,0.52933353,wood,90
27898.836,4286.5605,1102476000000.0,0.0768012800213336,18374562.0,1.2706747,4.7100663,32593.035,2204949500000.0,279524450.0,58170,0.6463333333333333,0.9915386,-3.481473681843643e-07,3.3074203e+16,31351.755320141587,14668.097012481514,37.49999999999999,8.559483,0.45043525,wood,105
27115.133,4254.2593,1085923400000.0,0.0910181836363939,18098724.0,1.1495123,4.1648884,32784.227,2171846700000.0,279637920.0,59999,0.6666555555555556,1.0400103,-3.824565169432668e-07,3.2577696e+16,31083.231953445054,14917.435405131013,37.49999999999999,8.55817,0.41790336,wood,120
27902.045,4286.045,1102210900000.0,0.0925015416923615,18370180.0,0.9825546,5.1233892,32500.64,2204421800000.0,279227360.0,58329,0.6481,0.9430377,-4.681405627697384e-07,3.3066322e+16,30973.03388489679,14972.253884189504,37.49999999999999,8.548931,0.44478607,wood,135
26988.832,4787.048,1374949700000.0,0.0742179036317272,22915820.0,1.0568137,2.416336,38931.06,2749899000000.0,323803870.0,59999,0.6666555555555556,0.9991567,-1.1030374911088493e-07,4.124848e+16,30123.457385047754,15536.698669841824,37.49999999999999,8.572458,0.2753309,wood,150
26392.102,4751.5474,1354632100000.0,0.0708345139085651,22577176.0,0.97687423,2.6172485,38178.766,2709263000000.0,320804670.0,59180,0.6575555555555556,1.0319768,2.3029471427384695e-07,4.0638916e+16,30044.784567289145,15512.692625842998,37.49999999999999,8.556328,0.28363,wood,165
