r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
20.0,0.0,25.0,13075.63,16.77,166.65,1.0,104566.6,19.8,156.0,0.04,0.04,0.42,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13132.57,16.84,166.65,1.0,105434.6,19.8,156.0,0.04,0.04,0.43,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13132.57,16.84,166.65,1.0,105434.6,19.8,156.0,0.04,0.04,0.43,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13132.57,16.84,166.65,1.0,105434.6,19.8,156.0,0.04,0.04,0.43,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13132.57,16.84,166.65,1.0,105434.6,19.8,156.0,0.04,0.04,0.43,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13132.57,16.84,166.65,1.0,105434.6,19.8,156.0,0.04,0.04,0.43,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13457.64,17.25,166.65,1.0,107255.7,19.8,156.0,0.04,0.03,0.38,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13457.64,17.25,166.65,1.0,107255.7,19.8,156.0,0.04,0.03,0.38,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13457.64,17.25,166.65,1.0,107255.7,19.8,156.0,0.04,0.03,0.38,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13457.64,17.25,166.65,1.0,107255.7,19.8,156.0,0.04,0.03,0.38,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13457.64,17.25,166.65,1.0,107255.7,19.8,156.0,0.04,0.03,0.38,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13097.32,16.79,166.65,1.0,104731.6,19.8,156.0,0.03,0.02,0.31,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13097.32,16.79,166.65,1.0,104731.6,19.8,156.0,0.03,0.02,0.31,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
20.0,0.0,25.0,13097.32,16.79,166.65,1.0,104731.6,19.8,156.0,0.03,0.02,0.31,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.035322750000000076,987.9202030528544,20,Cardboard,2026-02-08T05:24:47.881946
