r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
18.0,-0.22,25.0,2764.77,3.97,555.5,1.0,73474.1,19.8,156.0,0.46,0.4,4.62,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2764.77,3.97,555.5,1.0,73474.1,19.8,156.0,0.46,0.4,4.62,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2424.85,3.52,566.61,1.0,68696.3,19.8,156.0,0.5,0.43,4.95,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2424.85,3.52,566.61,1.0,68696.3,19.8,156.0,0.5,0.43,4.95,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2424.85,3.52,566.61,1.0,68696.3,19.8,156.0,0.5,0.43,4.95,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2424.85,3.52,566.61,1.0,68696.3,19.8,156.0,0.5,0.43,4.95,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
18.0,-0.22,25.0,2424.85,3.52,566.61,1.0,68696.3,19.8,156.0,0.5,0.43,4.95,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
17.9,-0.22,25.0,2103.98,3.08,622.16,1.0,66594.9,19.8,156.0,0.54,0.5,5.42,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
17.9,-0.22,25.0,2103.98,3.08,622.16,1.0,66594.9,19.8,156.0,0.54,0.5,5.42,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
17.9,-0.22,25.0,2103.98,3.08,622.16,1.0,66594.9,19.8,156.0,0.54,0.5,5.42,0.1747153941651148,3638.934331160771,33.76533131595283,108.45141914921257,0.047696960070847956,0.18590475000000004,4812.370523190729,20,Cloth,2026-02-08T08:07:29.742129
