r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
18.1,0.0,25.0,5092.26,5.35,388.85,1.0,87179.0,19.8,156.0,0.39,0.35,3.86,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.0,25.0,5092.26,5.35,388.85,1.0,87179.0,19.8,156.0,0.39,0.35,3.86,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.0,25.0,5092.26,5.35,388.85,1.0,87179.0,19.8,156.0,0.39,0.35,3.86,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.0,25.0,5092.26,5.35,388.85,1.0,87179.0,19.8,156.0,0.39,0.35,3.86,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.0,25.0,5092.26,5.35,388.85,1.0,87179.0,19.8,156.0,0.39,0.35,3.86,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.22,25.0,4722.65,4.91,399.96,1.0,87448.4,19.8,156.0,0.39,0.35,3.88,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.22,25.0,4722.65,4.91,399.96,1.0,87448.4,19.8,156.0,0.39,0.35,3.88,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.22,25.0,4722.65,4.91,399.96,1.0,87448.4,19.8,156.0,0.39,0.35,3.88,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.22,25.0,4722.65,4.91,399.96,1.0,87448.4,19.8,156.0,0.39,0.35,3.88,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.1,0.22,25.0,4722.65,4.91,399.96,1.0,87448.4,19.8,156.0,0.39,0.35,3.88,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.6,1.97,25.0,4709.14,4.86,344.41,1.0,82877.2,19.8,156.0,0.31,0.27,3.07,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
18.6,1.97,25.0,4709.14,4.86,344.41,1.0,82877.2,19.8,156.0,0.31,0.27,3.07,0.27704717237756665,4581.1865373467535,19.490797324803715,237.65738787632753,0.3579106033634652,0.061124999999999916,3254.968337034938,20,Hand,2026-02-08T06:34:08.049862
