r_cm,v_cms,temp,peak,snr,width_us,conf,area,power_percent,latency_ms,rmse_cm,mae_cm,resolution_mm,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material,timestamp
17.1,0.22,25.0,3574.01,4.24,288.86,1.0,49600.4,19.8,156.0,0.17,0.16,1.66,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.22,25.0,3574.01,4.24,288.86,1.0,49600.4,19.8,156.0,0.17,0.16,1.66,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.22,25.0,3574.01,4.24,288.86,1.0,49600.4,19.8,156.0,0.17,0.16,1.66,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,3089.47,3.67,288.86,1.0,44076.6,19.8,156.0,0.16,0.15,1.62,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,3089.47,3.67,288.86,1.0,44076.6,19.8,156.0,0.16,0.15,1.62,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,3089.47,3.67,288.86,1.0,44076.6,19.8,156.0,0.16,0.15,1.62,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,3089.47,3.67,288.86,1.0,44076.6,19.8,156.0,0.16,0.15,1.62,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,3089.47,3.67,288.86,1.0,44076.6,19.8,156.0,0.16,0.15,1.62,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2905.09,3.42,299.97,1.0,46306.1,19.8,156.0,0.15,0.13,1.46,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2506.36,2.94,299.97,1.0,41362.4,19.8,156.0,0.11,0.08,1.06,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2506.36,2.94,299.97,1.0,41362.4,19.8,156.0,0.11,0.08,1.06,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2506.36,2.94,299.97,1.0,41362.4,19.8,156.0,0.11,0.08,1.06,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
17.1,0.0,25.0,2506.36,2.94,299.97,1.0,41362.4,19.8,156.0,0.11,0.08,1.06,0.20298245614035088,2629.503801169591,17.282222222222224,152.26350840212223,3.552713678800501e-15,0.17568900000000004,2686.3967771487146,20,Paper,2026-02-08T07:40:42.355518
