r_cm,v_cms,temp,peak,snr,width_us,area,power_percent,snr_norm_r,area_norm_r,width_rel,energy_density,stability_std,snr_variance,echo_consistency,gt_distance_cm,material
20.0,0.0,25.0,13075.63,16.77,166.65,104566.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13132.57,16.84,166.65,105434.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13132.57,16.84,166.65,105434.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13132.57,16.84,166.65,105434.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13132.57,16.84,166.65,105434.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13132.57,16.84,166.65,105434.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13457.64,17.25,166.65,107255.7,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13457.64,17.25,166.65,107255.7,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13457.64,17.25,166.65,107255.7,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13457.64,17.25,166.65,107255.7,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13457.64,17.25,166.65,107255.7,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13097.32,16.79,166.65,104731.6,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
20.0,0.0,25.0,13164.64,16.87,166.65,105413.3,19.8,0.8464249999999998,5281.619,8.332500000000001,633.8576657665765,0.0,0.03532275,987.9202030528544,20,Cardboard
